Date,Open,High,Low,Close,Adj Close,Volume
2010-08-04,178.199997,179.500000,176.115005,177.830002,161.449005,1061300
2010-08-05,176.554993,178.990005,175.350006,176.335007,160.091721,1100790
2010-08-06,175.600006,178.770004,175.600006,177.485001,161.135773,794320
2010-08-09,178.500000,178.800003,176.279999,176.735001,160.454895,469770
2010-08-10,177.244995,177.500000,175.000000,175.479996,159.315475,596950
2010-08-11,175.500000,176.490005,173.369995,174.794998,158.693558,967090
2010-08-12,173.500000,176.190002,172.699997,173.824997,157.812927,457100
2010-08-13,173.975006,175.500000,173.505005,175.089996,158.961365,573930
2010-08-16,175.509995,176.500000,170.500000,171.589996,155.783859,1947360
2010-08-17,171.589996,172.449997,170.005005,170.669998,154.948563,1321090
2010-08-18,171.399994,177.880005,170.119995,176.899994,160.604660,2243880
2010-08-19,178.479996,180.899994,176.014999,179.054993,162.561142,1946970
2010-08-20,180.500000,181.294998,178.395004,179.240005,162.729095,892410
2010-08-23,180.000000,185.699997,176.279999,178.595001,162.143539,792670
2010-08-24,179.050003,180.800003,177.524994,178.755005,162.288773,784710
2010-08-25,179.000000,180.699997,178.000000,178.744995,162.279724,774500
2010-08-26,179.800003,180.300003,175.169998,178.195007,161.780396,1461150
2010-08-27,177.074997,178.300003,175.509995,177.324997,160.990479,1259150
2010-08-30,177.500000,178.399994,174.524994,175.080002,158.952316,857050
2010-08-31,176.000000,178.500000,173.660004,176.240005,160.005478,2370990
2010-09-01,175.000000,176.199997,174.000000,175.054993,158.929596,1677640
2010-09-02,175.199997,176.470001,172.505005,173.324997,157.358994,848250
2010-09-03,173.059998,174.899994,171.500000,172.505005,156.614517,1228880
2010-09-06,172.899994,174.095001,171.649994,172.850006,156.927734,1086470
2010-09-07,173.500000,174.600006,172.000000,172.274994,156.405716,1078460
2010-09-08,174.000000,184.800003,174.000000,175.384995,159.229202,10281660
2010-09-09,177.500000,177.500000,174.100006,174.554993,159.727936,2821520
2010-09-13,175.994995,176.199997,174.000000,175.449997,160.546890,1988480
2010-09-14,175.669998,175.899994,174.250000,174.645004,159.810287,1115330
2010-09-15,174.850006,181.235001,174.505005,180.589996,165.250305,3631770
2010-09-16,181.500000,184.899994,177.600006,183.860001,168.242538,3435260
2010-09-17,185.500000,189.100006,184.509995,187.410004,171.491013,2948770
2010-09-20,189.899994,190.300003,185.199997,187.684998,171.742676,4327330
2010-09-21,186.990005,194.699997,186.005005,193.074997,176.674805,3406180
2010-09-22,194.899994,198.375000,191.470001,192.175003,175.851273,4357790
2010-09-23,194.000000,196.389999,188.100006,188.839996,172.799530,3083340
2010-09-24,189.994995,194.000000,188.100006,192.119995,175.800919,2768870
2010-09-27,194.725006,196.195007,193.710007,194.559998,178.033676,1561010
2010-09-28,193.399994,197.399994,193.399994,197.005005,180.271011,1674770
2010-09-29,197.500000,201.500000,197.500000,200.065002,183.071075,3386350
2010-09-30,199.600006,203.475006,199.600006,202.050003,184.887466,3902690
2010-10-01,202.300003,204.899994,201.000000,203.035004,185.788803,1504270
2010-10-04,206.399994,207.000000,204.000000,206.464996,188.927444,1370400
2010-10-05,208.440002,208.440002,205.110001,206.100006,188.593445,1479130
2010-10-06,207.835007,207.955002,203.710007,204.255005,186.905197,1798630
2010-10-07,204.000000,206.500000,203.335007,203.865005,186.548279,871910
2010-10-08,203.899994,207.699997,202.160004,206.440002,188.904572,1636600
2010-10-11,207.600006,209.899994,205.660004,207.000000,189.416977,874860
2010-10-12,209.979996,211.169998,205.199997,209.009995,191.256226,1713680
2010-10-13,210.000000,211.990005,209.199997,210.494995,192.615097,2669790
2010-10-14,212.000000,212.475006,209.514999,210.309998,192.445847,895390
2010-10-15,209.264999,209.994995,203.300003,203.955002,186.630615,2118050
2010-10-18,209.899994,209.899994,201.800003,204.910004,187.504471,1463960
